"['MV', 'Title', 'Artists', 'TW', 'LW', 'OC', 'PLS', 'PK']"
2022-11-07 to 2022-11-20,,,,,,,
MV,Title,Artists,TW,LW,OC,PLS,PK
'=,Sad Boy (feat. Ava Max & Kylie Cantrall),"R3HAB, Jonas Blue, Ava Max, Kylie Cantrall",3,3,2,19,3²
▲20,abcdefu,GAYLE,3,23,2,19,3
▲27,Musica Ligera,Ana Mena,3,30,2,19,3
RE,All I Want for Christmas Is You,Mariah Carey,7,-,2,11,7
▼1,Romeo Y Julieta,"Lola Indigo, Rvfv",7,6,3,11,2
▲29,Snowman,Sia,9,38,2,9,9
▲42,Jingle Bell Rock - Single Version,Bobby Helms,9,51,3,9,9
▲9,Kiss My (Uh Oh),"Anne-Marie, Little Mix",9,18,4,9,1
RE,Santa Tell Me,Ariana Grande,9,-,3,9,9
RE,Last Christmas,Ariana Grande,9,-,2,9,9
RE,Oh Santa! (feat. Ariana Grande & Jennifer Hudson),"Mariah Carey, Ariana Grande, Jennifer Hudson",9,-,2,9,9
▼4,Mon Amour - Remix,"zzoilo, Aitana",15,11,3,8,1
▼6,Respira,"Guaynaa, Lola Indigo",15,9,2,8,9
▼2,Shivers (feat. Jessi & SUNMI),"Ed Sheeran, Jessi, SUNMI",15,13,2,8,13
'=,La Niña de la Escuela,"Lola Indigo, TINI, Belinda",18,18,5,7,3
▼17,Faking Love (feat. Saweetie),"Anitta, Saweetie",18,1,2,7,1
▼2,Kiss Me More (feat. SZA),"Doja Cat, SZA",20,18,6,6,9
▲3,Take My Breath,The Weeknd,20,23,4,6,13
▼10,I Don't Do Drugs (feat. Ariana Grande),"Doja Cat, Ariana Grande",22,12,6,5,5
▼17,"SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)","DJ Snake, Ozuna, Megan Thee Stallion, LISA",22,5,2,5,5
RE,4 besos,"Lola Indigo, Rauw Alejandro, Lalo Ebratt",22,-,9,5,2
▲26,Confetti (feat. Saweetie),"Little Mix, Saweetie",25,51,7,4,3
▲5,Let Them Know,Mabel,25,30,6,4,1²
RE,CALLE,"Lola Indigo, Guaynaa, Cauty",25,-,4,4,6
▲3,MONEY,LISA,25,28,3,4,24
▲5,Save Your Tears (with Ariana Grande) (Remix),"The Weeknd, Ariana Grande",25,30,7,4,2
▼2,Rumors (feat. Cardi B),"Lizzo, Cardi B",25,23,4,4,5
RE,CULO,"Lola Indigo, KHEA",25,-,5,4,5
▼12,Trakatá,"Ptazeta, Farina, Juacko",25,13,5,4,4
▼16,HIT IT (feat. Saweetie & Lele Pons),"Black Eyed Peas, Lele Pons, Saweetie",25,9,4,4,2
▼4,FULANITO,"Becky G, El Alfa",25,21,5,4,6
▼17,Lago Ness,Eva B,25,8,2,4,8
▼18,Ídem (feat. Donel),"Eva B, Donel",25,7,2,4,7
▼7,positions,Ariana Grande,37,30,12,3,1
▲1,Todo De Ti,Rauw Alejandro,37,38,6,3,2
RE,MODO TURBO,"Luísa Sonza, Pabllo Vittar, Anitta",37,-,6,3,6
RE,Fever,"Dua Lipa, Angèle",37,-,8,3,3
▼14,Espacio,Eva B,37,23,7,3,4
RE,CUANDO TE FUISTE,"Aitana, Natalia Lacunza",37,-,7,3,7
▲8,EL MAKINON,"KAROL G, Mariah Angeliq",43,51,7,2,3
RE,Young And Beautiful,Lana Del Rey,43,-,7,2,1
RE,Met Him Last Night (feat. Ariana Grande),"Demi Lovato, Ariana Grande",43,-,6,2,5
RE,Sacrifice,Bebe Rexha,43,-,7,2,1
RE,Tick-Tock,Albina,43,-,4,2,13
RE,Levitating (feat. DaBaby),"Dua Lipa, DaBaby",43,-,5,2,8
RE,Nada,"Cali Y El Dandee, Danna Paola",43,-,5,2,8
RE,Need to Know,Doja Cat,43,-,4,2,13
RE,I Don't Do Drugs (feat. Ariana Grande),"Doja Cat, Ariana Grande",43,-,4,2,11
RE,You Right,"Doja Cat, The Weeknd",43,-,3,2,11
▲8,motive (with Doja Cat),"Ariana Grande, Doja Cat",43,51,12,2,1
▼5,pov,Ariana Grande,43,38,12,2,3
▼5,safety net (feat. Ty Dolla $ign),"Ariana Grande, Ty Dolla $ign",43,38,11,2,13
RE,Prisoner (feat. Dua Lipa),"Miley Cyrus, Dua Lipa",43,-,10,2,1
RE,Lola Bunny,"Lola Indigo, Don Patricio",43,-,12,2,10
RE,ME! (feat. Brendon Urie of Panic! At The Disco),"Taylor Swift, Brendon Urie, Panic! At The Disco",43,-,5,2,19
RE,Fast (Motion),Saweetie,43,-,6,2,28
RE,test drive,Ariana Grande,43,-,8,2,2²
RE,"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix","Ariana Grande, Doja Cat, Megan Thee Stallion",43,-,6,2,3
RE,We're Good,Dua Lipa,43,-,7,2,6
RE,Santería,"Lola Indigo, Danna Paola, Denise Rosenthal",43,-,10,2,1
RE,Best Friend (feat. Doja Cat),"Saweetie, Doja Cat",43,-,5,2,2
▼5,CA$H,"Lola Indigo, Lyanno",43,38,5,2,8
RE,Midnight Sky,Miley Cyrus,43,-,10,2,5
RE,"Baby, I'm Jealous (feat. Doja Cat)","Bebe Rexha, Doja Cat",43,-,7,2,2
RE,"Baby, I'm Jealous (feat. Doja Cat) - Natti Natasha Remix","Bebe Rexha, Doja Cat, Natti Natasha",43,-,6,2,2
RE,Fusión del Núcleo,Chica Sobresalto,43,-,7,2,11
▼20,Frío y calor,Eva B,43,23,9,2,1
RE,Del Mar,"Ozuna, Doja Cat, Sia",43,-,8,2,8
RE,Mándame Un Audio - Remix,"Fresquito, Mango, Aitana",43,-,5,2,2
RE,¿Qué Más Quieres de Mí?,Marta Sango,43,-,6,2,1
RE,Read My Lips (feat. Farina),"INNA, Farina",43,-,7,2,13
NEW,Just Look Up (From Don’t Look Up),"Ariana Grande, Kid Cudi",43,-,1,2,43
NEW,It Was A… (Masked Christmas) (feat. Ariana Grande & Megan Thee Stallion),"Jimmy Fallon, Ariana Grande, Megan Thee Stallion",43,-,1,2,43
,,,,,,,
2021-10-18 to 2021-11-28,,,,,,,
MV,Title,Artists,TW,LW,OC,PLS,PK
▲19,"Gimme More (""Kimme More"" Remix) (feat. Lil' Kim)","Britney Spears, Lil' Kim",1,20,2,59,1
NEW,Faking Love (feat. Saweetie),"Anitta, Saweetie",1,-,1,59,1
NEW,Sad Boy (feat. Ava Max & Kylie Cantrall),"R3HAB, Jonas Blue, Ava Max, Kylie Cantrall",3,-,1,54,3
NEW,The Motto,"Tiësto, Ava Max",4,-,1,43,4
NEW,"SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)","DJ Snake, Ozuna, Megan Thee Stallion, LISA",5,-,1,26,5
▼4,Romeo Y Julieta,"Lola Indigo, Rvfv",6,2,2,24,2
NEW,Ídem (feat. Donel),"Eva B, Donel",7,-,1,19,7
NEW,Lago Ness,Eva B,8,-,1,16,8
▼5,HIT IT (feat. Saweetie & Lele Pons),"Black Eyed Peas, Lele Pons, Saweetie",9,4,3,14,2
NEW,Respira,"Guaynaa, Lola Indigo",9,-,1,14,9
▼10,Mon Amour - Remix,"zzoilo, Aitana",11,1,2,13,1
▼3,I Don't Do Drugs (feat. Ariana Grande),"Doja Cat, Ariana Grande",12,9,5,11,5
NEW,Moth To A Flame (with The Weeknd),"Swedish House Mafia, The Weeknd",13,-,1,9,13
▲5,C-Control,Eva B,13,18,4,9,3
▼7,Trakatá,"Ptazeta, Farina, Juacko",13,6,4,9,4
NEW,Ser Tú,Eva B,13,-,1,9,13
NEW,Shivers (feat. Jessi & SUNMI),"Ed Sheeran, Jessi, SUNMI",13,-,1,9,13
▼11,Kiss My (Uh Oh),"Anne-Marie, Little Mix",18,7,3,8,1
▼6,Kiss Me More (feat. SZA),"Doja Cat, SZA",18,12,5,8,9
▼11,La Niña de la Escuela,"Lola Indigo, TINI, Belinda",18,7,4,8,3
▼18,OUT OUT (feat. Charli XCX & Saweetie),"Joel Corry, Jax Jones, Charli XCX, Saweetie",21,3,3,7,3
▼11,FULANITO,"Becky G, El Alfa",21,10,4,7,6
▼9,Take My Breath,The Weeknd,23,14,3,6,13
▼18,Rumors (feat. Cardi B),"Lizzo, Cardi B",23,5,3,6,5
NEW,abcdefu,GAYLE,23,-,1,6,23
▲13,Frío y calor,Eva B,23,36,8,6,1
▲1,Espacio,Eva B,23,24,6,6,4
▼4,MONEY,LISA,28,24,2,5,24
NEW,que pasa?,Ariadna,28,-,1,5,28
▼16,COPINES,Aya Nakamura,30,14,3,4,14
▼10,Let Them Know,Mabel,30,20,5,4,1²
▼6,positions,Ariana Grande,30,24,11,4,1
▼19,Save Your Tears (with Ariana Grande) (Remix),"The Weeknd, Ariana Grande",30,11,6,4,2
NEW,valeria,Ariadna,30,-,1,4,30
RE,tu juego,Ariadna,30,-,4,4,1
NEW,Lágrima de Vino,Eva B,30,-,1,4,30
NEW,Musica Ligera,Ana Mena,30,-,1,4,30
NEW,Snowman,Sia,38,-,1,3,38
▼21,You Right,"Doja Cat, The Weeknd",38,17,4,3,11
▼8,pov,Ariana Grande,38,30,11,3,3
▼9,safety net (feat. Ty Dolla $ign),"Ariana Grande, Ty Dolla $ign",38,29,10,3,13
▼10,Todo De Ti,Rauw Alejandro,38,28,5,3,2
▼5,CA$H,"Lola Indigo, Lyanno",38,33,4,3,8
▼11,París,Ingratax,38,27,2,3,27
RE,Sonar,Eva B,38,-,3,3,38
NEW,Ya no hay nous (feat. Leo Rizzi),"Eva B, Leo Rizzi",38,-,1,3,38
NEW,Cero,Eva B,38,-,1,3,38
NEW,Drogada,Eva B,38,-,1,3,38
NEW,Crazyland (feat. Domingo Ondiz),"Eva B, Domingo Ondiz",38,-,1,3,38
NEW,al santo 2.0,Ariadna,38,-,1,3,38
RE,Jingle Bell Rock - Single Version,Bobby Helms,51,-,2,2,36
▼17,EL MAKINON,"KAROL G, Mariah Angeliq",51,34,6,2,3
▼32,Confetti (feat. Saweetie),"Little Mix, Saweetie",51,19,6,2,3
▼17,Need to Know,Doja Cat,51,34,5,2,9
▼15,motive (with Doja Cat),"Ariana Grande, Doja Cat",51,36,11,2,1
▼29,no stas aki,"Ariadna, Yer",51,22,5,2,17
RE,gracias x venir,Ariadna,51,-,5,2,10
NEW,don't think of me,Ariadna,51,-,1,2,51
NEW,x los dos,Ariadna,51,-,1,2,51
NEW,vete d aquí,Ariadna,51,-,1,2,51
NEW,ya no vuelvas,Ariadna,51,-,1,2,51
,,,,,,,
2021-08-16 to 2021-10-17,,,,,,,
MV,Title,Artists,TW,LW,OC,PLS,PK
NEW,Mon Amour - Remix,"zzoilo, Aitana",1,-,1,276,1
NEW,Romeo Y Julieta,"Lola Indigo, Rvfv",2,-,1,151,2
▲28,OUT OUT (feat. Charli XCX & Saweetie),"Joel Corry, Jax Jones, Charli XCX, Saweetie",3,31,2,91,3
▼2,HIT IT (feat. Saweetie & Lele Pons),"Black Eyed Peas, Lele Pons, Saweetie",4,2,2,81,2
▲11,Rumors (feat. Cardi B),"Lizzo, Cardi B",5,16,2,65,5
▼1,Trakatá,"Ptazeta, Farina, Juacko",6,5,3,63,4
▼6,Kiss My (Uh Oh),"Anne-Marie, Little Mix",7,1,2,59,1
▼3,La Niña de la Escuela,"Lola Indigo, TINI, Belinda",7,4,3,59,3
▼4,I Don't Do Drugs (feat. Ariana Grande),"Doja Cat, Ariana Grande",9,5,4,56,5
▼1,FULANITO,"Becky G, El Alfa",10,9,3,54,6
▼3,Save Your Tears (with Ariana Grande) (Remix),"The Weeknd, Ariana Grande",11,8,5,51,2
▼3,Kiss Me More (feat. SZA),"Doja Cat, SZA",12,9,4,49,9
NEW,LALISA,LISA,13,-,1,47,13
▲8,COPINES,Aya Nakamura,14,22,2,45,14
▼1,Take My Breath,The Weeknd,14,13,2,45,13
▼9,Me Quedo (feat. Ana Mena),"Nil Moliner, Ana Mena",16,7,2,43,7
▼6,You Right,"Doja Cat, The Weeknd",17,11,3,42,11
▼15,C-Control,Eva B,18,3,3,41,3
▼8,Confetti (feat. Saweetie),"Little Mix, Saweetie",19,11,5,36,3
▼3,Let Them Know,Mabel,20,17,4,35,1²
NEW,"Gimme More (""Kimme More"" Remix) (feat. Lil' Kim)","Britney Spears, Lil' Kim",20,-,1,35,20
▼5,no stas aki,"Ariadna, Yer",22,17,4,31,17
NEW,ONE OF ME (feat. Elton John),"Lil Nas X, Elton John",23,-,1,28,23
NEW,MONEY,LISA,24,-,1,23,24
▼7,positions,Ariana Grande,24,17,10,23,1
▼7,Espacio,Eva B,24,17,5,23,4
NEW,París,Ingratax,27,-,1,21,27
▼11,Todo De Ti,Rauw Alejandro,28,17,4,20,2
▼16,safety net (feat. Ty Dolla $ign),"Ariana Grande, Ty Dolla $ign",29,13,9,19,13
▼2,pov,Ariana Grande,30,28,10,13,3
▼5,Aunque No Sea Conmigo,"Aitana, Evaluna Montaner",31,26,2,12,26
NEW,AM I DREAMING (feat. Miley Cyrus),"Lil Nas X, Miley Cyrus",32,-,1,11,32
▼7,CA$H,"Lola Indigo, Lyanno",33,26,3,10,8
▼6,EL MAKINON,"KAROL G, Mariah Angeliq",34,28,5,9,3
▼3,Need to Know,Doja Cat,34,31,4,9,9
▼6,Sacrifice,Bebe Rexha,36,30,6,8,1
▼11,motive (with Doja Cat),"Ariana Grande, Doja Cat",36,25,10,8,1
▼5,test drive,Ariana Grande,36,31,7,8,2²
▼2,Frío y calor,Eva B,36,34,7,8,1
▼23,Mándame Un Audio - Remix,"Fresquito, Mango, Aitana",36,13,4,8,2
▼5,Met Him Last Night (feat. Ariana Grande),"Demi Lovato, Ariana Grande",41,36,5,6,5
NEW,Butter (feat. Megan Thee Stallion),"BTS, Megan Thee Stallion",42,-,1,5,42
▲5,Woman,Doja Cat,43,48,2,4,43
▼7,Prisoner (feat. Dua Lipa),"Miley Cyrus, Dua Lipa",43,36,9,4,1
▼5,Lola Bunny,"Lola Indigo, Don Patricio",43,38,11,4,10
▼5,Fast (Motion),Saweetie,43,38,5,4,28
▼5,RAM PAM PAM,"Natti Natasha, Becky G",43,38,5,4,7
NEW,High Heels,Natalia Gordienko,43,-,1,4,43
▼11,We're Good,Dua Lipa,49,38,6,3,6
RE,IDOL,"BTS, Nicki Minaj",49,-,4,3,10
▼25,CULO,"Lola Indigo, KHEA",49,24,4,3,5
NEW,Boyz (feat. Nicki Minaj),"Jesy Nelson, Nicki Minaj",49,-,1,3,49
▼19,borderline (feat. Missy Elliott),"Ariana Grande, Missy Elliott",53,34,3,2,10
NEW,In Your Eyes,Kylie Minogue,53,-,1,2,53
RE,Problem,"Ariana Grande, Iggy Azalea",53,-,7,2,22
NEW,DONT WANT IT,Lil Nas X,53,-,1,2,53
NEW,DOLLA SIGN SLIME (feat. Megan Thee Stallion),"Lil Nas X, Megan Thee Stallion",53,-,1,2,53
▼5,Need to Know,Doja Cat,53,48,3,2,13
▼5,I Don't Do Drugs (feat. Ariana Grande),"Doja Cat, Ariana Grande",53,48,3,2,11
NEW,love nwantiti (feat. Dj Yo! & AX'EL) - Remix,"CKay, DJ Yo, AX'EL",53,-,1,2,53
,,,,,,,
2021-07-19 to 2021-08-15,,,,,,,
MV,Title,Artists,TW,LW,OC,PLS,PK
NEW,Kiss My (Uh Oh),"Anne-Marie, Little Mix",1,-,1,86,1
NEW,HIT IT (feat. Saweetie & Lele Pons),"Black Eyed Peas, Lele Pons, Saweetie",2,-,1,78,2
▲17,C-Control,Eva B,3,20,2,43,3
▼1,La Niña de la Escuela,"Lola Indigo, TINI, Belinda",4,3,2,42,3
▲19,I Don't Do Drugs (feat. Ariana Grande),"Doja Cat, Ariana Grande",5,24,3,39,5
▼1,Trakatá,"Ptazeta, Farina, Juacko",5,4,2,39,4
NEW,Me Quedo (feat. Ana Mena),"Nil Moliner, Ana Mena",7,-,1,35,7
▲5,Save Your Tears (with Ariana Grande) (Remix),"The Weeknd, Ariana Grande",8,13,4,31,2
▲8,Kiss Me More (feat. SZA),"Doja Cat, SZA",9,17,3,26,9
▼3,FULANITO,"Becky G, El Alfa",9,6,2,26,6
▲9,Confetti (feat. Saweetie),"Little Mix, Saweetie",11,20,4,20,3
▲21,You Right,"Doja Cat, The Weeknd",11,32,2,20,11
▲27,safety net (feat. Ty Dolla $ign),"Ariana Grande, Ty Dolla $ign",13,40,8,18,13
NEW,Take My Breath,The Weeknd,13,-,1,18,13
▼11,Mándame Un Audio - Remix,"Fresquito, Mango, Aitana",13,2,3,18,2
NEW,Rumors (feat. Cardi B),"Lizzo, Cardi B",16,-,1,17,16
▼16,Let Them Know,Mabel,17,1,3,16,1²
RE,positions,Ariana Grande,17,-,9,16,1
▼12,Todo De Ti,Rauw Alejandro,17,5,3,16,2
▲5,Espacio,Eva B,17,22,4,16,4
▲20,no stas aki,"Ariadna, Yer",17,37,3,16,17
NEW,COPINES,Aya Nakamura,22,-,1,15,22
▼5,Tiroteo - Remix,"Marc Seguí, Rauw Alejandro, Pol Granch",22,17,2,15,17
▼15,CULO,"Lola Indigo, KHEA",24,9,3,12,5
▲22,motive (with Doja Cat),"Ariana Grande, Doja Cat",25,47,9,11,1
▼18,CA$H,"Lola Indigo, Lyanno",26,8,2,10,8
NEW,Aunque No Sea Conmigo,"Aitana, Evaluna Montaner",26,-,1,10,26
▼21,EL MAKINON,"KAROL G, Mariah Angeliq",28,7,4,9,3
▲19,pov,Ariana Grande,28,47,9,9,3
▲2,Sacrifice,Bebe Rexha,30,32,5,8,1
▲16,Need to Know,Doja Cat,31,47,3,7,9
▲16,test drive,Ariana Grande,31,47,6,7,2²
NEW,OUT OUT (feat. Charli XCX & Saweetie),"Joel Corry, Jax Jones, Charli XCX, Saweetie",31,-,1,7,31
RE,borderline (feat. Missy Elliott),"Ariana Grande, Missy Elliott",34,-,2,6,10
▲3,Frío y calor,Eva B,34,37,6,6,1
▼4,Met Him Last Night (feat. Ariana Grande),"Demi Lovato, Ariana Grande",36,32,4,5,5
▲4,Prisoner (feat. Dua Lipa),"Miley Cyrus, Dua Lipa",36,40,8,5,1
▼28,Lola Bunny,"Lola Indigo, Don Patricio",38,10,10,4,10
▼10,Fast (Motion),Saweetie,38,28,4,4,28
▲2,We're Good,Dua Lipa,38,40,5,4,6
▼21,RAM PAM PAM,"Natti Natasha, Becky G",38,17,4,4,7
NEW,You live in my heart (Demo ver.),Kim Tae Wook,42,-,1,3,42
RE,"thank u, next",Ariana Grande,42,-,18,3,11
RE,"break up with your girlfriend, i'm bored",Ariana Grande,42,-,14,3,17
RE,bloodline,Ariana Grande,42,-,3,3,42
RE,"Kings & Queens, Pt. 2 (feat. Lauv & Saweetie)","Ava Max, Lauv, Saweetie",42,-,6,3,8
NEW,Que Calor - Saweetie Remix,"Major Lazer, J Balvin, Diplo, Saweetie",42,-,1,3,42
RE,Born To Die,Lana Del Rey,48,-,3,2,27
NEW,I Miss You (feat. Julia Michaels),"Clean Bandit, Julia Michaels",48,-,1,2,48
NEW,INDUSTRY BABY (feat. Jack Harlow),"Lil Nas X, Jack Harlow",48,-,1,2,48
NEW,Don't Go Yet,Camila Cabello,48,-,1,2,48
NEW,Woman,Doja Cat,48,-,1,2,48
▼35,Need to Know,Doja Cat,48,13,2,2,13
▼37,I Don't Do Drugs (feat. Ariana Grande),"Doja Cat, Ariana Grande",48,11,2,2,11
NEW,Naked,Doja Cat,48,-,1,2,48
RE,just like magic,Ariana Grande,48,-,6,2,6
RE,my hair,Ariana Grande,48,-,5,2,22
RE,love language,Ariana Grande,48,-,5,2,25
RE,obvious,Ariana Grande,48,-,6,2,21
RE,NASA,Ariana Grande,48,-,3,2,40
RE,bad idea,Ariana Grande,48,-,2,2,37
RE,needy,Ariana Grande,48,-,3,2,42
RE,fake smile,Ariana Grande,48,-,2,2,40
RE,Fever,"Dua Lipa, Angèle",48,-,7,2,3
NEW,Heartbreak Anthem (with David Guetta & Little Mix) [Clean Bandit Remix],"Galantis, David Guetta, Clean Bandit, Little Mix",48,-,1,2,48
NEW,Better Believe,"Belly, The Weeknd, Young Thug",48,-,1,2,48
RE,My Type (feat. Becky G & Melii) - Latin Remix,"Saweetie, Becky G, Melii",48,-,2,2,46
NEW,Mon amour,zzoilo,48,-,1,2,48
RE,Whisper,Sweet California,48,-,2,2,37
RE,Live It Up - Official Song 2018 FIFA World Cup Russia,"Nicky Jam, Will Smith, Era Istrefi",48,-,5,2,4
,,,,,,,
2021-06-28 to 2021-07-18,,,,,,,
MV,Title,Artists,TW,LW,OC,PLS,PK
'=,Let Them Know,Mabel,1,1,2,44,1²
▲18,Mándame Un Audio - Remix,"Fresquito, Mango, Aitana",2,20,2,43,2
NEW,La Niña de la Escuela,"Lola Indigo, TINI, Belinda",3,-,1,38,3
NEW,Trakatá,"Ptazeta, Farina, Juacko",4,-,1,35,4
▼3,Todo De Ti,Rauw Alejandro,5,2,2,31,2
NEW,FULANITO,"Becky G, El Alfa",6,-,1,30,6
▼4,EL MAKINON,"KAROL G, Mariah Angeliq",7,3,3,25,3
NEW,CA$H,"Lola Indigo, Lyanno",8,-,1,20,8
▼4,CULO,"Lola Indigo, KHEA",9,5,2,18,5
RE,Lola Bunny,"Lola Indigo, Don Patricio",10,-,9,15,10
NEW,I Don't Do Drugs (feat. Ariana Grande),"Doja Cat, Ariana Grande",11,-,1,14,11
▲31,You Right,"Doja Cat, The Weeknd",11,42,2,14,11
▼7,Pareja Del Año,"Sebastian Yatra, Myke Towers",13,6,2,13,6
NEW,Need to Know,Doja Cat,13,-,1,13,13
▼5,Save Your Tears (with Ariana Grande) (Remix),"The Weeknd, Ariana Grande",13,8,3,13,2
NEW,Fiel - Remix,"Wisin, Jhay Cortez, Anuel AA, Los Legendarios, Myke Towers",13,-,1,13,13
▲12,Kiss Me More (feat. SZA),"Doja Cat, SZA",17,29,2,12,17
▼6,RAM PAM PAM,"Natti Natasha, Becky G",17,11,3,12,7
NEW,Tiroteo - Remix,"Marc Seguí, Rauw Alejandro, Pol Granch",17,-,1,12,17
▼13,Confetti (feat. Saweetie),"Little Mix, Saweetie",20,7,3,11,3
NEW,C-Control,Eva B,20,-,1,11,20
NEW,Tamagochi,Lola Indigo,22,-,1,10,22
▼12,Espacio,Eva B,22,10,3,10,4
▲18,I Don't Do Drugs (feat. Ariana Grande),"Doja Cat, Ariana Grande",24,42,2,9,24
▲1,CALLE,"Lola Indigo, Guaynaa, Cauty",25,26,3,8,6
NEW,KILLA (ring ring),Lola Indigo,25,-,1,8,25
▼10,Las Nenas (feat. La Duraca),"Natti Natasha, Cazzu, Farina, La Duraca",25,15,3,8,15
▼14,Tick-Tock,Albina,28,14,3,7,13
▼24,Kiss Me More (feat. SZA),"Doja Cat, SZA",28,4,3,7,1
▲1,Fast (Motion),Saweetie,28,29,3,7,28
▲14,Loco,"Justin Quiles, Chimbala, Zion & Lennox",28,42,2,7,28
▼10,Met Him Last Night (feat. Ariana Grande),"Demi Lovato, Ariana Grande",32,22,3,6,5
▼9,Sacrifice,Bebe Rexha,32,23,4,6,1
NEW,You Right,"Doja Cat, The Weeknd",32,-,1,6,32
NEW,Spice Girls,Lola Indigo,32,-,1,6,32
NEW,Nada A Nadie,"Lola Indigo, Mala Rodríguez",32,-,1,6,32
RE,4 besos,"Lola Indigo, Rauw Alejandro, Lalo Ebratt",37,-,8,5,2
▼8,Frío y calor,Eva B,37,29,5,5,1
▲5,no stas aki,"Ariadna, Yer",37,42,2,5,37
RE,I Follow Rivers,Eva B,40,-,9,3,1
▼3,safety net (feat. Ty Dolla $ign),"Ariana Grande, Ty Dolla $ign",40,37,7,3,18
▼20,Prisoner (feat. Dua Lipa),"Miley Cyrus, Dua Lipa",40,20,7,3,1
▼11,We're Good,Dua Lipa,40,29,4,3,6
NEW,cómo te va?,"Lola Indigo, Beret",40,-,1,3,40
NEW,no sé qué decir,"Lola Indigo, Roy Borland",40,-,1,3,40
▲2,Sonar,Eva B,40,42,2,3,40
NEW,People Help the People,Eva B,47,-,1,2,47
RE,Let's Twist Again,Eva B,47,-,7,2,8
RE,The Loco-Motion,"Eva B, Gèrard",47,-,2,2,20
RE,Maniac,"Eva B, Samantha",47,-,5,2,2
NEW,Copenhague,"Eva B, Flavio",47,-,1,2,47
RE,Little Talks,"Eva B, Nick Maylo",47,-,2,2,29
▼38,Need to Know,Doja Cat,47,9,2,2,9
▼10,motive (with Doja Cat),"Ariana Grande, Doja Cat",47,37,8,2,1
▼21,pov,Ariana Grande,47,26,8,2,3
RE,Mala Cara,Lola Indigo,47,-,4,2,15
NEW,Hey! Baby,"Flavio, Eva B",47,-,1,2,47
NEW,Esperando,"Hugo Cobo, Eva B",47,-,1,2,47
NEW,Wild Side (feat. Cardi B),"Normani, Cardi B",47,-,1,2,47
▼24,test drive,Ariana Grande,47,23,5,2,2²
NEW,tú & yo,Lola Indigo,47,-,1,2,47
NEW,La Llorera,Lola Indigo,47,-,1,2,47
NEW,Bad Guy,Eva B,47,-,1,2,47
NEW,Hoy la Bestia Cena en Casa,Eva B,47,-,1,2,47
NEW,Don't Start Now,"Eva B, NIA",47,-,1,2,47
RE,MORE,Eva B,47,-,6,2,2
NEW,Part-Time Lover,Eva B,47,-,1,2,47
RE,El mundo entero,Eva B,47,-,2,2,14
RE,Frío y calor - Acústico,Eva B,47,-,3,2,14
RE,América,Eva B,47,-,7,2,1
RE,Dumb,Eva B,47,-,12,2,2
RE,Nothing Else Matters,Eva B,47,-,2,2,44
,,,,,,,
2021-05-24 to 2021-06-27,,,,,,,
MV,Title,Artists,TW,LW,OC,PLS,PK
NEW,Let Them Know,Mabel,1,-,1,70,1
NEW,Todo De Ti,Rauw Alejandro,2,-,1,48,2
▲31,EL MAKINON,"KAROL G, Mariah Angeliq",3,34,2,42,3
▼3,Kiss Me More (feat. SZA),"Doja Cat, SZA",4,1,2,37,1
NEW,CULO,"Lola Indigo, KHEA",5,-,1,35,5
NEW,Pareja Del Año,"Sebastian Yatra, Myke Towers",6,-,1,34,6
▼4,Confetti (feat. Saweetie),"Little Mix, Saweetie",7,3,2,33,3
▼6,Save Your Tears (with Ariana Grande) (Remix),"The Weeknd, Ariana Grande",8,2,2,28,2
NEW,Need to Know,Doja Cat,9,-,1,25,9
▼6,Espacio,Eva B,10,4,2,21,4
▼4,RAM PAM PAM,"Natti Natasha, Becky G",11,7,2,20,7
▲7,Loco Loco,Hurricane,11,18,2,20,11
▲8,Adrenalina,"Senhit, Flo Rida",11,19,2,20,11
▼1,Tick-Tock,Albina,14,13,2,19,13
▲1,Las Nenas (feat. La Duraca),"Natti Natasha, Cazzu, Farina, La Duraca",15,16,2,18,15
NEW,?,Ariadna,16,-,1,17,16
▲2,Sugar,Natalia Gordienko,17,19,2,15,17
▲32,Mata Hari,Efendi,17,49,2,15,17
▼4,Je me casse,Destiny,19,15,2,13,15
▼8,Prisoner (feat. Dua Lipa),"Miley Cyrus, Dua Lipa",20,12,6,12,1
NEW,Mándame Un Audio - Remix,"Fresquito, Mango, Aitana",20,-,1,12,20
▼17,Met Him Last Night (feat. Ariana Grande),"Demi Lovato, Ariana Grande",22,5,2,10,5
▼14,Sacrifice,Bebe Rexha,23,9,3,9,1
▼13,test drive,Ariana Grande,23,10,4,9,2²
NEW,Un beso de improviso,"Ana Mena, Rocco Hunt",23,-,1,9,23
▼20,CALLE,"Lola Indigo, Guaynaa, Cauty",26,6,2,8,6
▲8,pov,Ariana Grande,26,34,7,8,3
NEW,Step On Up,Ariana Grande,26,-,1,8,26
NEW,Kiss Me More (feat. SZA),"Doja Cat, SZA",29,-,1,7,29
▲3,Fast (Motion),Saweetie,29,32,2,7,29
▼7,We're Good,Dua Lipa,29,22,3,7,6
▼21,Frío y calor,Eva B,29,8,4,7,1
RE,Love Again,Dua Lipa,33,-,2,6,33
