"['MV', 'Title', 'Artists', 'TW', 'LW', 'OC', 'PLS', 'PK']"
2022-11-07 to 2022-11-20,,,,,,,
MV,Title,Artists,TW,LW,OC,PLS,PK
NEW,Say It Right,Nelly Furtado,32,-,1,7,32
RE,Mujerón,"Ptazeta, Villano Antillano",32,-,3,7,6
NEW,Bonbon,Era Istrefi,34,-,1,6,34
▼28,Dance To This (feat. Ariana Grande),"Troye Sivan, Ariana Grande",34,6,2,6,6
RE,Say My Name,"David Guetta, Bebe Rexha, J Balvin",36,-,2,5,36
'=,Fever,"Dua Lipa, Angèle",36,36,10,5,3
▼15,Easy Lover (feat. Big Sean),"Ellie Goulding, Big Sean",36,21,5,5,7
NEW,Made You Look,Meghan Trainor,36,-,1,5,36
NEW,Secret Love Song (feat. Jason Derulo),"Little Mix, Jason Derulo",40,-,1,4,40
▲2,Break My Heart,Dua Lipa,40,42,4,4,22
▼4,Prisoner (feat. Dua Lipa),"Miley Cyrus, Dua Lipa",40,36,13,4,1
▼9,Cake,Melanie Martinez,40,31,5,4,5
▼4,We're Good,Dua Lipa,40,36,9,4,6
RE,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),"Ariana Grande, Miley Cyrus, Lana Del Rey",40,-,15,4,1
NEW,No,Little Mix,40,-,1,4,40
NEW,All By Myself,"Alok, Sigala, Ellie Goulding",40,-,1,4,40
NEW,Anti-Hero,Taylor Swift,40,-,1,4,40
NEW,Break Up Song,Little Mix,49,-,1,3,49
NEW,Sweet Melody,Little Mix,49,-,1,3,49
NEW,Love Me Like You,Little Mix,49,-,1,3,49
NEW,"Secret Love Song, Pt. II",Little Mix,49,-,1,3,49
RE,Reggaetón Lento (Remix),"CNCO, Little Mix",49,-,2,3,49
▼7,Hallucinate,Dua Lipa,49,42,2,3,42
RE,Lust For Life (with The Weeknd),"Lana Del Rey, The Weeknd",49,-,3,3,3
NEW,If It Ain’t Me,Dua Lipa,49,-,1,3,49
NEW,Lavender Haze,Taylor Swift,49,-,1,3,49
NEW,Maroon,Taylor Swift,49,-,1,3,49
NEW,Vigilante Shit,Taylor Swift,49,-,1,3,49
NEW,Karma,Taylor Swift,49,-,1,3,49
,,,,,,,
2022-09-19 to 2022-10-02,,,,,,,
MV,Title,Artists,TW,LW,OC,PLS,PK
NEW,Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",1,-,1,76,1
NEW,Otra Vez,Aitana,2,-,1,64,2
▼2,I'm Good (Blue),"David Guetta, Bebe Rexha",3,1,2,59,1
NEW,Besos Moja2,"Wisin & Yandel, ROSALÍA",4,-,1,52,4
NEW,LOKITA,"Natti Natasha, Maria Becerra",5,-,1,39,5
NEW,Dance To This (feat. Ariana Grande),"Troye Sivan, Ariana Grande",6,-,1,32,6
▼5,Words (feat. Zara Larsson),"Alesso, Zara Larsson",7,2,2,30,2
▼5,DISCOTEKA,"Lola Indigo, Maria Becerra",8,3,2,28,3
▼3,NO MIENTEN - Tiësto Remix,"Becky G, Tiësto",9,6,3,27,2
▼2,Hot in It,"Tiësto, Charli XCX",10,8,4,22,1
▼4,La Corriente,"Marta Sango, Rakky Ripper",11,7,3,19,4
▼7,Million Dollar Baby,Ava Max,11,4,2,19,4
NEW,Bad Love,"Sean Paul, Ellie Goulding",13,-,1,18,13
▼4,Quieres,"Aitana, Emilia, Ptazeta",13,9,3,18,1
▼10,negro mate,Eva B,15,5,2,16,5
▼5,mariposas,"sangiovanni, Aitana",16,11,6,13,4²
▼6,"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",16,10,4,13,2
NEW,STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,18,-,1,9,18
RE,Circus,Britney Spears,19,-,2,8,19
RE,Womanizer,Britney Spears,19,-,3,8,19
RE,Mad Love,"Sean Paul, David Guetta, Becky G",21,-,2,7,21
RE,Problem,"Ariana Grande, Iggy Azalea",21,-,9,7,21
▲2,If U Seek Amy,Britney Spears,21,23,2,7,21
RE,Formentera,"Aitana, Nicki Nicole",21,-,8,7,1²
▼2,Easy Lover (feat. Big Sean),"Ellie Goulding, Big Sean",21,19,4,7,7
▲2,No Broken Hearts (feat. Nicki Minaj),"Bebe Rexha, Nicki Minaj",26,28,12,6,3
▼13,AN1MAL,Lola Indigo,26,13,6,6,2
▼12,Super Freaky Girl,Nicki Minaj,26,14,3,6,8
▲6,Sacrifice,Bebe Rexha,29,35,9,5,1
▼14,Mezzanotte,Ana Mena,29,15,6,5,6
RE,One Last Time,Ariana Grande,31,-,11,4,22
▼16,Cake,Melanie Martinez,31,15,4,4,5
▼12,Doin' Time,Lana Del Rey,31,19,4,4,12
▼16,"Villano Antillano: Bzrp Music Sessions, Vol. 51","Bizarrap, Villano Antillano",31,15,5,4,1
▼12,Caramello,"Rocco Hunt, Elettra Lamborghini, Lola Indigo",31,19,5,4,7
RE,Break Free,"Ariana Grande, Zedd",36,-,7,3,23
RE,Confetti (feat. Saweetie),"Little Mix, Saweetie",36,-,10,3,3
RE,Prisoner (feat. Dua Lipa),"Miley Cyrus, Dua Lipa",36,-,12,3,1
RE,We're Good,Dua Lipa,36,-,8,3,6
RE,Fever,"Dua Lipa, Angèle",36,-,9,3,3
RE,Cuestión De Suerte,Natalia Lacunza,36,-,6,3,5²
